title,street,city,state,zipcode,phone,email
Storage Binz,1901 Holtville Hwy,Wetumpka,Alabama,36092,3345672394,tomoverton@elmore.rr.com
"Joiner Parkway Self Storage
Gold Member","108 Joiner Pkwy, CA 95648",Lincoln,California,95648,19166216222,
East 'O' Street Self Storage LLC,290 S. 134th Street,Lincoln,Nebraska,68520-1262,4024890134,rolacres@aol.com
Kimco Self Storage,627 North 66th Street,Lincoln,Nebraska,68505-2409,4024233003,kimco56@windstream.net
Lincoln Storage,48000 U.S. 78,Lincoln,Alabama,35096,2057630076,
Lincoln Storage LLC,290 S 134th St,Lincoln,Nebraska,68506-0896,4024890134,KentT@thompsonrealtygroup.com
Self Storage Management Service Inc,PO Box 671,Lincoln,California,95648,9165014113,alang@selfstoragemanagement.com
Added Space,1506 South Knoxville Avenue,Russellville,Arkansas,72802-6408,4799678080,addedspace@cox-internet.com
"Barker Self Storage
Gold Member","4303 N Barker Rd, WA 99027",Valley,Washington,99027,18884561122,
Clanton Mini Storage,Po. Box 141,Clanton,Alabama,35046,2057552721,
Alabama Storage LLC,1588 Carson Road North,Fultondale,Alabama,35217,2056081103,alabamastorage@bellsouth.net
All American Mini Warehouses,7870 Tanner Williams Road,Mobile,Alabama,36608,2516390444,omegasales@aol.com
SpaceSavers Self Storage Inc,2051 W I 65 Service Road N,Mobile,Alabama,36618,2514326683,rpaulk@paulksmoving.com
StorageMax Midtown,1061 Government Street,Mobile,Alabama,36604-2438,,smm@stomax.com
"Storage Star Anchorage North
Gold Member","225 Boniface Pkwy, AK 99504",Anchorage,Alaska,99504,19072054807,
"Storage Star Anchorage South
Gold Member","11711 Old Seward Hwy, AK 99515",Anchorage,Alaska,99515,19075196591,
JK Partnership dba The Space Place,6305 Brayton Dr.,Anchorage,Alaska,99507,9075634314,jbohnert@alaska.net
King Street Storage,8700 King Street,Anchorage,Alaska,99515-1920,9073349440,kingstreetstorage@yahoo.com
Publix Self Storage,1100 East Dowling Road,Anchorage,Alaska,99518,9075633636,dowling@publixselfstorage.com
Tudor Storage,3521 E. Tudor Road,Anchorage,Alaska,99507,9075615585,tudor@alaska.net
Agua Fria Storage Solutions,1327 N. Dysart Rd.,Avondale,Arizona,85323,6239322853,aguafriass@gmail.com
Kennett Square Mini Storage,568A East Baltimore Pike,Avondale,Pennsylvania,19311,6104444551,ksms@kennett.net
Rio Estrella,1429 N. Eliseo C. Felix,Avondale,Arizona,85323,6235470500,msmco1002@qwestoffice.net
Storage West Self Storage,1262 N. Arizona Ave.,Chandler,Arizona,85225,4809637175,
Public Storage Inc,PO Box 25050,Glendale,California,91221-5050,18006888057,cbego@publicstorage.com
Phoenix,3650 West Broadway Rd,Phoenix,Arizona,85041,6024621234,azallstorage@gmail.com
1st Choice Moving & Stora,2804 N 29th Ave,Phoenix,Arizona,85009,6023531400,mendelson.rachel@gmail.com
25th Avenue Storage Solutions,17811 N 25th Avenue,Phoenix,Arizona,85023,6029930666,25thavess@gmail.com
All Safe Storage USA,2638 E Mohawk Ln,Phoenix,Arizona,85050,6022008688,amberb@gryphongrp.com
Allstate Self Storage,4747 N 16th St.,Phoenix,Arizona,85016,6022302945,allstate10@allstateministorage.com
Armour Self Storage,301 West Indian School Rd,Phoenix,Arizona,85013,6027724064,hhanson@armourselfstorage.com
"C3 Modern Storage, LLC","4650 E. Cotton Center Blvd., Suite 210",Phoenix,Arizona,85040-4804,6023935880,drwastchak@c3modernstorage.com
Cox Armored Mini Storage,1650 E. Lamar Rd.,Phoenix,Arizona,85016,6022748011,armored@aol.com
Desert Ridge Storage,2638 E Mohawk Ln,Phoenix,Arizona,85050,6022008688,jim@diversified-asset.com
Pear Tree Lane Self Storage,400 Pear Tree Ln,Phoenix,Oregon,97535-9402,5415357088,kstringer@charter.net
Storage Direct Black Canyon,4200 N. Black Canyon Hwy.,Phoenix,Arizona,85017,6022491001,blackcanyon@storagedirect.com
Storage West Self Storage,6316 N. 27th Ave.,Phoenix,Arizona,85017,6022467204,
Storage West Self Storage,1628 E. Bell Road,Phoenix,Arizona,85022,6029718130,
Desert Storage,7301 E Acoma Drive,Scottsdale,Arizona,85260,4803869004,acomadrive@desertstorage.com
McDowell Mountain Community Storage,10101 E McDowell Mountain Ranch Rd,Scottsdale,Arizona,85260,6028995484,
Storage West Self Storage,9405 E. Doubletree Ranch Rd.,Scottsdale,Arizona,85258,4808601101,
Storage West Self Storage,13851 North 73rd Street,Scottsdale,Arizona,85260,4809915600,
Storage West Self Storage,7821 East Gray Road,Scottsdale,Arizona,85260,4804830088,
Storage West Self Storage,7007 E. Bell Road,Scottsdale,Arizona,85254,4804439502,
Storage West Self Storage,1450 S. McClintock Drive,Tempe,Arizona,85281,4809682212,
American Mini Storage - Tucson,7020 N Camino Martin,Tucson,Arizona,85741,5207447444,marana@platinumstorage.com
American Mini Storage - Tucson,7020 N Camino Martin,Tucson,Arizona,85741,5207447444,marana@platinumstorage.com
American Self Storage,510 West Limberlost Dr.,Tucson,Arizona,85705,5202931233,suzanne@toumeyco.com
DPM PSG Marana,7020 N Camino Martin,Tucson,Arizona,85741,5207447444,marana@platinumstorage.com
"Coyote Lakes Cool Storage
Gold Member","11658 West Bell Rd, AZ 85378",Surprise,Arizona,85378,6234282824,
Westview Self Storage,17404 W Van Buren,Goodyear,Arizona,85338-4208,6238531505,gavinroles@hotmail.com
Aspen Mini Storage,24 Dunnam Road,Flagstaff,Arizona,86001,9287791771,amstorages@qwest.net
Lake Havasu RV and Boat Storage,1808 Victoria Farms Road,Lake Havasu City,Arizona,86404,9287641961,terri@lakehavasustorage.com
Tatum Ranch Storage Solutions,29201 N Cave Creek Road,Cave Creek,Arizona,85331,4805850113,manager@trss.phxcoxmail.com
"Canyon Rose Storage
Gold Member","6405 S Kings Ranch Rd, AZ 85118",Gold Canyon,Arizona,85118,14806302580,
"Snapbox Fairpark
Gold Member","5700 W 10th St, AR 72204",Little Rock,Arkansas,72204,15012145553,
"Snapbox Self Storage
Gold Member","8015 Geyer Springs Rd, AR 72209",Little Rock,Arizona,72209,15014060240,
"Snapbox Self Storage
Gold Member","6100 Leon Cir, AR 72209",Little Rock,Arkansas,72209,15016533090,
"Snapbox Self Storage
Gold Member","2010 S University Ave, AR 72204",Little Rock,Arkansas,72204,15012632767,
U-Storit Inc,18 Freeway Drive.,Little Rock,Arkansas,72204,5016665700,b.humble@u-storit.com
U-Storit Inc.,18 Freeway Dr,Little Rock,Arkansas,72204,5016147778,lisar@u-storit.com
Arkansas Self Storage,2325 N. Gregg Avenue,Fayetteville,Arkansas,72703-2812,4795713800,
Cliffdale Mini Storage Inc,820 S Reilly Rd,Fayetteville,North Carolina,28301,9108643331,
Cliffdale Safe Storage,7901 Cliffdale Road,Fayetteville,North Carolina,28314,9104978673,manager@cliffdalesafestorage.com
Fayette Self Storage,112 New Hope Road,Fayetteville,Georgia,30214,7704616371,fayettestorage@bellsouth.net
Fayetteville Self Storage,3100 US Highway 50,Fayetteville,Ohio,45118,5138754300,denny@kileymold.com
Hope Mills Mini Storage,5607 Camden Rd,Fayetteville,North Carolina,28306-7207,9104262233,
International Self Storage,803 South Eastern Boulevard,Fayetteville,North Carolina,28301-6386,9104852428,
Storage King USA,5799 Pepperbush Drive,Fayetteville,North Carolina,28304-4825,9104268600,corporate@expressmoneyservice.com
Storage King USA,3216 Midpine Rd.,Fayetteville,North Carolina,28306,9103210430,Midpine@storagekingusa.com
265 Super Storage,1507 S. Old Missouri Rd.,Springdale,Arkansas,72764,4798766323,glaj@cox.net
Ace Mini Storage,1742 S Pleasant St,Springdale,Arkansas,72764-6241,5017562828,
"Secura Self Storage (Jonesboro, AR)
Gold Member","3406 Access Rd, AR 72401",Jonesboro,Arkansas,72401,18703363660,
Crows Run Self Storage LLC,1901 Crows Run Road,Conway,Pennsylvania,15027,7242425600,contact@crowsrunstorage.com
"Snapbox Self Storage
Gold Member","2113 E Central Ave, AR 72712",Bentonville,Arkansas,72712,14799745176,
"Snapbox Self Storage
Gold Member","804 SE J St, AR 72712",Bentonville,Arizona,72712,14792717775,
"StrongPoint Self Storage
Gold Member","3100 SW Regional Airport Blvd, AR 72713",Bentonville,Arkansas,72713,14798471506,
Texarkana National Storage,2801 Richmond Road,Texarkana,Texas,75503-2123,9032233939,138king@msn.com
"Secura Self Storage (Paragould, AR)","2402 W Kingshighway, AR 72450",Paragould,Arkansas,72450,18703363660,
Bella Vista Central Storage LLC,Po. Box 3076,Bella Vista,Arkansas,72715,,paulnpat@cox-internet.com
Elmo Land Inc dba Greenwood Mini Storage,Po. Box 1032,Greenwood,Mississippi,38935-1032,6014533314,
Mini Storage Center,3 Foundry Industrial Park,Lowell,Massachusetts,01852-5100,9784538206,ministore8@aol.com
"Storage Star Sheridan
Gold Member","5211 Coffeen Ave, WY 82801",Sheridan,Wyoming,82801,13074614421,
Sheridan Self Storage,1818 Terra Ave.,Sheridan,Wyoming,82801-6111,3076747552,
Anytime Storage,1012 Applegate Lane,Clarksville,Indiana,47129,8127275600,AnytimeStorageClarksville.mail@gmail.com
Mentone Self Storage,PO Box 18839,Anaheim,California,92817-8839,7149745300,mblasi@socal.rr.com
Storage West Self Storage,1628 S. Anaheim Way,Anaheim,California,92805,7146358200,
Airport Storage,3847 Highway 24,Anderson,South Carolina,29626,8642247049,kimperkins79@yahoo.com
Secure Storage,1823 East 53rd Street,Anderson,Indiana,46013,7656411144,info@securestoragespaces.com
"Statewide Self Storage
Gold Member","1901 Verne Roberts Cir, CA 94509",Antioch,California,94509,19253926079,
A Storage City Self Storage,2100 A Street,Antioch,California,94509,9253034032,
A Storage City Self Storage,2100 A Street,Antioch,California,94509,9253034032,
CubeSmart,22075 Highway 18,Apple Valley,California,92307,7602478040,STORE0460@CUBESMART.COM
CubeSmart,18690 Highway 18,Apple Valley,California,92307,7602425604,STORE0461@CUBESMART.COM
"All American Self Storage
Gold Member","9340 Panama Ln, CA 93311",Bakersfield,California,93311,16618554868,
"Brimhall Mini Storage
Gold Member","7830 Brimhall Rd, CA, 93308",Bakersfield,California,93308,6615897000,
"Olive Drive Self Storage
Gold Member","5250 Knudsen Dr, CA 93308",Bakersfield,California,93308,16614540908,
Bakersfield,8601 Kern Cnyon Rd.,Bakersfield,California,93306,6613662167,americanssnjfld@gmail.com
Instant Storage,3101 State Road,Bakersfield,California,93308,6613937005,info@instantstorage.com
North Chester Mini Storage,700 James Road,Bakersfield,California,93308,6613921171,Norchester@platinumstorage.com
Ramsey Self Storage,1441 E Ramsey St.,Banning,California,92220-5931,9518491102,
Adams Mini Storage,650 IH-10 South,Beaumont,Texas,77707-4007,4098404880,bruce@adamsselfstorage.com
Beaumont Self Storage,190 East First St.,Beaumont,California,92223,9517697700,beaumontselfstorage@msn.com
Guardian Self Storage,1315 East 6th Street,Beaumont,California,92223-2503,9518452929,
Yankee Mini Storage -G and J Development,1020 Western Knolls Ave,Beaumont,California,92223,9517698900,yankeestorage@myway.com
All American Storage LLC,2503 North Walnut,Bloomington,Indiana,47404,8123394901,north@storeallamerican.com
Storage Express Management LLC,222 W Allen St,Bloomington,Indiana,47403-3006,8123396339,jshreve@storageexpress.com
The Storage Loft,1603 N Hershey Rd,Bloomington,Illinois,61704,3096628800,
Buena Park Self Storage LLC,7111 McNeil Lane,Buena Park,California,90620-1755,7147365426,storit4less@hotmail.com
Dale Street Storage,"6000 Dale St., Ste #101",Buena Park,California,90621,7145224020,DaleSt@sbcglobal.net
Pacific Self Storage,"1601 Bayshore Hwy, # 344",Burlingame,California,94010,6506975008,
Aim Lock-Up,23622 Calabasas Road Suite 200,Calabasas,California,91302,8182233500,gcowart@ezralow.com
Golden State Self Storage,300 W. Ventura Blvd,Camarillo,California,93010,8053224492,dce@ojaioil.com
32 Gallon Investments dba Kirk's Mini Storage,61 Dillion Ave.,Campbell,California,95008,4083788973,mark@zanardi.com
VIP Self-Storage,4615 National Parks Highway,Carlsbad,New Mexico,88220-9169,5058871000,
"Castro Valley
Gold Member","8555 Dublin Canyon Rd, CA 94552",Castro Valley,California,94552,15102414550,
AAAAA Rent-A-Space,4545 Crow Canyon Pl.,Castro Valley,California,94552,5107271800,katie5A@aol.com
Castro Valley Hayward Storage LLC,2457 Grove Way,Castro Valley,California,94546,5105812020,manager1@cvstorage.com
Castro Valley Storage,2489 Grove Way,Castro Valley,California,94546,5108864237,
Castro Valley Storage LLC,2489 Grove Way,Castro Valley,California,94546,5108864237,
Cathedral Village Self St,32500 Date Palm Drive,Cathedral CIty,California,92234,7607707651,cvstorage@aol.com
CubeSmart,67650 East Ramon Road,Cathedral City,California,92234,7603206632,STORE0281@CUBESMART.COM
CubeSmart,67650 East Ramon Road,Cathedral City,California,92234,7603206632,STORE0281@CUBESMART.COM
"Longfellow Self Storage
Gold Member","1280 E 1st Ave, CA 95926",Chico,California,95926,15307716996,
C and C Storage,11080 Midway Road,Chico,California,95928,5308988464,bkchance4c@aol.com
Extra Storage,1483 Broadway,Chula Vista,California,91911,6194272122,nancy-01@pacbell.net
Extra Storage,1483 Broadway,Chula Vista,California,91911,6194272122,lease@chulavistastorage.com
Storage Outlet - Chula Vista,1160 3rd Ave.,Chula Vista,California,91911,6193993065,reservations@prpstorage.com
CubeSmart,7562 Greenback Lane,Citrus Heights,California,95610,9167215400,STORE0226@CUBESMART.COM
Cubework Turnbull,900 Turnbull Canyon Rd,City Of Industry,California,91745,8888597998,marketing@cubework.com
Claremont Center Self Storage,425 Washington Street,Claremont,New Hampshire,03743,6035436592,storage@emlot.com
ColiseumConcord Self Storage,1597 Market Street,Concord,California,94520,9258274141,pilotsf@aol.com
Depot Self Storage,2450 Derita Rd,Concord,North Carolina,28027,7049795111,
San Miguel Mini Storage,1021 San Miguel Rd.,Concord,California,94518-2056,9256801688,sanmiguelstorage@aol.com
Storage Direct Corona,1790 Pomona Road,Corona,California,92880,9513718126,corona@storagedirect.com
AA New Storage,1741 Whittier Avenue,Costa Mesa,California,92627,9496464688,
Allspace Self Storage,1535 newport blvd,Costa Mesa,California,92627-3714,9497600800,allspacereviews@yahoo.com
Ayres Self Storage,1880 Whittier Ave,Costa Mesa,California,92627-4559,9496501282,
Bay Area Self Storage,20725 Valley Green Dr. #100,Cupertino,California,95014,4082554100,jennifer@hunterproperties.com
Lock It Up Self Storage,10730 North Blaney,Cupertino,California,95014,4082572900,cat@lockitupstorage.com
Metro Mini Storage,27236 US 290,Cypress,Texas,77433,2813734994,craydrake@aol.com
South Davis Storage,4836 Chiles Rd,Davis,California,95618-4440,5307582560,
CubeSmart,275 South Prospectors Drive,Diamond Bar,California,91765,9098603660,STORE0217@CUBESMART.COM
"Dublin Security Storage
Gold Member","6005 Scarlett Ct, CA 94568",Dublin,California,94568,19254207788,
Village Associates,5995 Shier Rings Road,Dublin,Ohio,43016-1237,6145260097,Iweil@weilrealestate.com
Waterman Self Storage,9200 Brinkman Ct,Elk Grove,California,95642,7072414457,
"City Storage and City Cellars
Gold Member","4004 Adeline St, CA 94608",Emeryville,California,94608,15104234270,
Devon Self Storage,2000 Powell Street suite 1240,Emeryville,California,94608,5104501300,knitzberg@devonselfstorage.com
CubeSmart,1531 Montiel Road,Escondido,California,92026,7607457300,STORE0712@CUBESMART.COM
Private Storage Systems,2421 BARHAM DRIVE,ESCONDIDO,California,92029-1027,7602918286,privatestorage25@yahoo.com
Storage Outlet - Escondido,1530 E. Grand Ave,Escondido,California,92027,7602300039,reservations@prpstorage.com
Storage West Self Storage,366 W. El Norte Parkway,Escondido,California,92026,7602330366,
A Storage Place,3555 Terra Linda Lane,Fallbrook,California,92028-8346,7607286626,
CubeSmart,514 Ammunition Road,Fallbrook,California,92028,7607234131,STORE0493@CUBESMART.COM
"Clock Tower Self Storage
Gold Member",7500 Folsom-Auburn Rd,Folsom,California,95630,19168779507,
"Storage Star Folsom
Gold Member","600 Nesmith Ct, CA 95630",Folsom,California,95630,19166194326,
First Choice Storage Inc,14750 Foothill Blvd.,Fontana,California,92335,9093571090,firstchoicestorage@hotmail.com
LK Mini Storage,8150 Tamarind Avenue,Fontana,California,92335,9098291885,lk@platinumstorage.com
Storage Direct Fontana,16990 Ceres Avenue,Fontana,California,92335,9093504611,fontana@storagedirect.com
Storage West Self Storage,14337 Baseline Ave.,Fontana,California,92336,9098299100,
Foster City,1221 East Hillsdale,Foster City,California,94404,6503412964,fostercity@5aspace.com
Ballville Storage Complex,613 South State Route 53,Fremont,Ohio,43420-9667,4193322121,
Lock It Up Self Storage,38491 Fremont Blvd,Fremont,California,94536,5107900330,cat@lockitupstorage.com
Derrel's Mini Storage Inc,3265 W. Ashlan Ave.,Fresno,California,93722-4402,5592249900,
Heritage Storage Facilities-Ashlan LLC,4485 W Ashlan Avenue,Fresno,California,93722,5594853686,info@heritagestorage.com
Storage Outlet Fullerton,900 S. Raymond Ave,Fullerton,California,92831,7145251144,reservations@prpstorage.com
Storage West Self Storage,4200 N. Harbor Blvd.,Fullerton,California,92835,7148791164,
ABC Storage,621 W. Rosecrans,Gardena,California,90248,3103299061,
Storage Outlet - Gardena,13401 S. Western Ave,Gardena,California,90249,3109841846,gardena@storageoutlet.net
Storage Outlet Gardena,13401 S. Western Ave,Gardena,California,90248,3105158332,gardena@storageoutlet.net
Storage Us,16001 S Broadway St,Gardena,California,90248-2407,3105168776,stevekochcl@yahoo.com
Public Storage Inc,PO Box 25050,Glendale,California,91221-5050,18006888057,cbego@publicstorage.com
Hawthorne Self Storage,130 Brady Avenue,Hawthorne,New York,10532-2208,9147694103,
"StoragePRO Self Storage of Hayward
Gold Member","1820 Pacheco Way, CA 94544",Hayward,California,94544,15102590880,
A-1 Armor Self Storage LLC,2468 Whipple Rd.,Hayward,California,94544-7808,5104892757,lmangat@aol.com
Hayward Storage LLC,77 Traynor Street,Hayward,California,94544,5105383700,manager1@cvstorage.com
Hemet,1180 N STATE ST,Hemet,California,92543,9519250893,suresavestorage@verizon.net
The Storage Place of Hemet,1455 W Acacia Ave,Hemet,California,92543-3891,9519258562,cristina322@aol.com
Sparky's Self Storage,13522 Main Street,Hesperia,California,92345-4677,,dmcdaniel@netreit.com
Thomas Self Storage LLC,14400 Yucca street,Hesperia,California,92345,7609490003,
Safe-N-Secure Self-Storage,12447 US Highway 40,Highland,Illinois,62249,187701,highland@safe-n-secure.net
Storage Outlet - Highland,7957 Church Ave.,Highland,California,92346,9098642560,reservations@prpstorage.com
"Hannigan`s Mini Storage
Gold Member","180 San Felipe Rd, CA 95023",Hollister,California,95023,18315860500,
"Mini Max Self Storage
Gold Member","2450 San Juan Rd, CA, 95023",Hollister,California,95023,8312074356,
Flynn Rd RV and Mini Storage,741 Flynn Road,Hollister,California,95023-9308,8316365212,
Mountain View Storage,1755 S Business Highway 65,Hollister,Missouri,65814,4173344010,kyle@kylecompanies.com
AAA Self Storage,7252 Saturn Drive,Huntington Beach,California,92647-4430,7148420043,
"American Self Storage Center, LLC",2218 Pacific Coast Hwy,Huntington Beach,California,92648-3958,7143742570,pam@americanselfstoragecenter.com
Ayres Self Storage,7012 Ernest Drive,Huntington Beach,California,92648,7148487314,huntingtonbeachcitations@gmail.com
Calico Industries LLC dba U-Store,"16835 Algonquin Street, Suite 470",Huntington Beach,California,92649,5625925352,calicoindust@aol.com
Storage Outlet - Huntington Beach,8620 Hamilton Ave,Huntington Beach,California,92646,7145362390,reservations@prpstorage.com
Indio Security Storage Inc,45800 Flower Street,Indio,California,92201-4606,7603477312,indiostorage@yahoo.com
Granite Investment Group,2 Park Plaza Suite 800,Irvine,California,92614,9494775800,clevy@graniteinvestment.com
Guardian Storage Centers LLC,2082 Michelson Dr. Ste. 212,Irvine,California,92612-1213,9498337603,
Hunsaker ManagementThe Storage Place,17761 Mitchell Street,Irvine,California,92614,9498631540,
Storage West Self Storage,2892 Kelvin Avenue,Irvine,California,92614,9498630838,
Platinum Storage Group,23211 S. Pointe Dr. #102,Laguna Hills,California,92653-1478,9497702232,debil@platinumstorage.com
American Storage,23122 El Toro Rd,Lake Forest,California,92675-1441,9494552536,
Metro Storage LLC,13528 Boulton Blvd.,Lake Forest,Illinois,60045,8472358900,management@metrostorage.com
Storage West Self Storage,20700 Canada Road,Lake Forest,California,92630,9496090200,
CubeSmart,43357 Division Street,Lancaster,California,93535,6619485511,STORE0532@CUBESMART.COM
LanCo Mini Storage Center Inc,1813 Old Philadelphia Pike,Lancaster,Pennsylvania,17602-2637,7172916022,
New Danville Pike Self Storage,1350 A New Danville Pike,Lancaster,Pennsylvania,17603-9606,7173916285,edendemo@comcast.net
Premier Self Storage,170 Independence Court,Lancaster,Pennsylvania,17601,7177359920,premierselfstorage@high.net
"First Street Mini Storage
Gold Member","4185 First St, CA 94551",Livermore,California,94551,19254718041,
"Livermore Self Storage
Gold Member",5921 Southfront Rd,Livermore,California,94551,19254204045,
"Sherpa Storage Mines Road
Gold Member","250 N Mines Rd, CA 94551",Livermore,California,94551,19258001440,
"Valley Self Storage
Gold Member","3006 Gardella Plaza, CA 94551",Livermore,California,94551,,
"Valley Storage
Gold Member","3006 Gardella Plaza, CA, 94550",Livermore,California,94550,9253378267,
UNITS Moving and Portable Storage,7503 Las Positas Rd,Livermore,California,94551,9254548648,unitseb@gmail.com
"Lodi Stor-All
Gold Member","1431 S Stockton St, CA 95240",Lodi,California,95240,12092008804,
Cluff Avenue Mini-Storage,740 North Cluff Ave.,Lodi,California,95240,2093688673,
Vulcan Street Storage,170 Vulcan Drive,Lompoc,California,93436,8057333375,paulberg1@aol.com
Beatline Road Mini Storage,Po. Box 28,Long Beach,Mississippi,39560-4104,2288649730,ssvomck@aol.com
CubeSmart,198 West Artesia Boulevard,Long Beach,California,90805,5624230973,STORE0277@CUBESMART.COM
Don Temple Storage,3750 E. Spring St.,Long Beach,California,90806-2436,5626337344,info@templestorage.com
Movers Long Beach,111 W Ocean Blvd #400,Long Beach,California,90802,5622856822,moverslongbeach@outlook.com
Store For Less,1012 W Carson St,Long Beach,California,90810-1408,5624804943,
Studebaker Self Storage,698 N Studebaker Rd,Long Beach,California,90803-2221,5624304490,office@studebakerselfstorage.com
333 Self Storage LLC dba Extra Closet Storage,1800 S. Robertson Blvd. #33,Los Angeles,California,90035-4365,3102043323,333investments@gmail.com
A-American Self Storage,11560 Tennessee Avenue,Los Angeles,California,90064-1513,3109144022,storit@aamericanselfstorage.com
Self Storage Management Inc,5221 W 102nd St,Los Angeles,California,90045,3106420080,rabernethy@techcenter.net
Small Town Storage,550 S. Hope St. Ste. 2600,Los Angeles,California,90071,7074480739,dennissmith@traversrealty.com
Stor It All Self Storage LLC,2870 Los Feliz Place,Los Angeles,California,90039,8182411200,
Thriftee Storage Co,1717 Glendale Blvd.,Los Angeles,California,90026,3236604600,ministorage@earthlink.net
Stor-lt,688 University Ave,Los Gatos,California,94401,4083993900,vaughan670@aol.com
E-Z Self Storage of Lynwood,19600 Stony Island Ave.,Lynwood,Illinois,60411,7088953337,ezstamp@aol.com
Lynwood Storage,21686 East Lincoln Hwy.,Lynwood,Illinois,60411-4773,7087582266,
"North Main Storage
Gold Member","1280 N Main St, CA 95336",Manteca,California,95336,12092399200,
"Stuff N Storage
Gold Member","1139 Vanderbilt Cir, CA 95337",Manteca,California,95337,12092452950,
