title,street,city,state,zipcode,phone,email
Moore's Lake Mini Storage,1685 South State Street,Dover,Delaware,19901,3027359700,inquire@mooreslakeministorage.com
Muncy Self Storage Inc,1603 John Brady Dr,Muncy,Pennsylvania,17756,5705465300,info@muncyss.com
Hippensteel's Secure Self Storage,457 Centerville Road,Newville,Pennsylvania,17241-9584,7177766930,epleysj@earthlink.net
Bush Street Storage,9408 Bush St,Plymouth,California,95669,2092456442,dml4@netzero.net
Plymouth Storage,627 West Main Street,Plymouth,Pennsylvania,18651,5707799568,tina@hancapitalgroup.com
Route 3 Storage LLC,630 Daniel Webster Highway,Plymouth,New Hampshire,03275-3704,6035360033,
Exton Store-N-More,397 East Clover Mill Road,Exton,Pennsylvania,19341,6102809305,info@store-n-more.com
Cannon Mini Self Storage,1 Stoneybrook Lane,Ridley Park,Pennsylvania,19078,6105211030,properties@cannoninc.com
Selinsgrove Mini Storage Inc,Route 522,Selinsgrove,Pennsylvania,17870,5703746336,sms1@ptd.net
Capital Self Storage,"688 Yorktown Rd., Ste. B",Lewisberry,Pennsylvania,17339-9216,7179321333,css@capitalselfstorage.com
Arlington Mr Store It,408 West Arlington Blvd.,Greenville,North Carolina,27834,2527569933,tchapin@nc.rr.com
lnterstate Self Storage,30 Interchange Blvd,Greenville,Pennsylvania,29607,8646279299,cindywinfree@hotmail.com
140 Mini Storage,9 Wheaton Dr.,Littlestown,Pennsylvania,17340,71735988001,ocharbour@comcast.net
Wildwood Mini Storage,5831 Wildwood Ln.,Paradise,California,95969-4524,5308771779,
"Snapbox Self Storage
Gold Member","104 Penns Trail, PA 18940",Newtown,Pennsylvania,18940,12155156941,
Storage World LLC,211 N. Wyomissing Blvd.,Wyomissing,Pennsylvania,19610,6103763100,swberkscnty@storageworldonline.com
Shaler Self Storage,422 Elfinwild Road,Allison Park,Pennsylvania,15101,4124864852,ScottDMG@aol.com
Sinky Self Storage,Fritztown Rd,Sinking Spring,Pennsylvania,19608,6106782278,
Coventry Self Storage LLC,2709 Boston Turnpike,Coventry,Connecticut,06238,8607425540,info@coventrystorage.com
Carriage House Self Storage,25 Hathorn Road,Warwick,New York,10990,8459861121,carriage@warwick.net
Storage Center LLC,700 Narragansett Park Dr.,Pawtucket,Rhode Island,02861,4017252777,Imarshall@storagecenter.com
Bedford Road Self Storage,12219 Bedford Rd NE,Cumberland,Maryland,21502,3013381122,bedfordroadselfstorage@gmail.com
Barrington Self Storage,65 Bay Spring Ave.,Barrington,Rhode Island,02806-1301,4012460552,
"Joiner Parkway Self Storage
Gold Member","108 Joiner Pkwy, CA 95648",Lincoln,California,95648,19166216222,
East 'O' Street Self Storage LLC,290 S. 134th Street,Lincoln,Nebraska,68520-1262,4024890134,rolacres@aol.com
Kimco Self Storage,627 North 66th Street,Lincoln,Nebraska,68505-2409,4024233003,kimco56@windstream.net
Lincoln Storage,48000 U.S. 78,Lincoln,Alabama,35096,2057630076,
Lincoln Storage LLC,290 S 134th St,Lincoln,Nebraska,68506-0896,4024890134,KentT@thompsonrealtygroup.com
Self Storage Management Service Inc,PO Box 671,Lincoln,California,95648,9165014113,alang@selfstoragemanagement.com
J and J Store and Lock,2925 Terry Drive,Middletown,Ohio,45042-1731,5134241538,
Ace Self Storage,11 Gavitt Avenue,Westerly,Rhode Island,02891,4015963007,aceselfstorage@verizon.net
Cornerstone Self Storage Inc,234/236 Post Road (Route 1),Westerly,Rhode Island,02891,4013227353,info@csselfstorage.com
Granite Storage Inc,53 Airport Rd,Westerly,Rhode Island,02891,4015961443,granitestor@aol.com
Bristol Mini Storage,1201 Bluff City Highway,Bristol,Tennessee,37620-5827,4236524664,bms1201@aol.com
Pest Control Bristol,145 Repton Rd,Brislington,Bristol,BS4 3LY,7830304098,
Atlantic Storage Associates,960 Ribaut Rd. #2,Beaufort,South Carolina,29902,8435244425,
Lady's Island Self Storage,13 Inlet Road,Beaufort,Pennsylvania,29907-1619,8435245625,rgrayjr@graycoinc.com
Bluffton Self Storage,11 Oliver Court,Bluffton,South Carolina,29910,8437577733,Blufftonselfstoage@gmail.com
Bluffton Self Storage,"11 Oliver Court Bluffton, SC 29910",Bluffton,South Carolina,29926,8436817333,bcssnew@aol.com
Village Self Storage,10 Coastal Drive Behind Island Ford on Hwy. 278,Bluffton,Pennsylvania,29910,8438378100,vselfstorage@aol.com
AAA Downtown Storage,44 Line Street,Charleston,Pennsylvania,29403,8437235466,
AAA Mini Storage,5284 Big Tyler Road,Charleston,West Virginia,25313-1831,3047766993,aaa_mini_storage@yahoo.com
Ashley Self Storage,2455 Ashley River Rd.,Charleston,Pennsylvania,29414,8435566300,Ashleyss@bellsouth.net
Carter City Self Storage,2143 Heriot St.,Charleston,Pennsylvania,29403-3021,8435776642,
Pack Rat Self Storage,2170 Greenridge Rd.,Charleston,Pennsylvania,29406,8435693100,ncharleston@packratstorage.com
Stockade Storage,1951 Maybank Hwy.,Charleston,Pennsylvania,29412,8437957177,bpoe@buckmanagement.com
Auxvasse Self Storage LLC,2215 County Road 269,Columbia,Missouri,65202,5733874608,storage@ktis.net
ezStorage,9265 Berger Road,Columbia,Maryland,21046,4103813343,store@ezstorage.com
Forum DevelopmentLongtown Self Storage,Po. Box 23127,Columbia,South Carolina,29224-3127,8037717088,
Storage Centre,2506 West Worley Street,Columbia,Missouri,65203-4618,3144458423,thestoragecentre@centurytel.net
TKG StorageMart Partners LP,2407 Rangeline St Stop 1,Columbia,Missouri,65202,5734490091,mburnam@storage-mart.com
TKG StorageMart Partners LP,2407 Rangeline St Stop 1,Columbia,Missouri,65202,5734490091,mburnam@storage-mart.com
Best Self Storage,On KY 18 @ Centennial Circle,Florence,Pennsylvania,17701,8595259030,
RSC LLC dba Richland Storage Center,1895 Hwy 49 South,Florence,Mississippi,39201,6019323299,centerrichland@bellsouth.net
Security Self Storage Inc,8080 Steilen Dr.,Florence,Kentucky,41042,8595252700,securtiysteilen@gmail.com
Harbor Lake Self-Storage,4110 Harbor Lake Drive,Goose Creek,Pennsylvania,29445-5992,8437644587,
Arlington Mr Store It,408 West Arlington Blvd.,Greenville,North Carolina,27834,2527569933,tchapin@nc.rr.com
lnterstate Self Storage,30 Interchange Blvd,Greenville,Pennsylvania,29607,8646279299,cindywinfree@hotmail.com
Beach City Self Storage LP,78 BEACH CITY ROAD,Hilton Head Island,South Carolina,29926,8436817333,bradhhi@aol.com
Dask Storage LLC,200 Industrial Drive,Lexington,South Carolina,29072,8036286288,dkrapf@att.net
Space Center Storage,680 Tennessee Avenue,Lexington,Kentucky,40505,8594251129,storqueen@spacecenterstorage.com
Extra Room Self Storage LLC,Po. Box 2715,Mount Pleasant,South Carolina,29465,8438845221,hpoteat@fgigm.com
LCT Ventures dba Mr Store It,3550 Socastee Blvd,Myrtle Beach,Pennsylvania,29588-6112,8432933300,
Admiral Self Storage,Po. Box 62110,North Charleston,South Carolina,29419,8438242223,admiralstorage@aol.com
Stor-N-Lock,2107 Big Oak Lane,Rock Hill,Pennsylvania,29732-8192,8033663739,stornlock@comporium.net
Palmetto Storage,1850 New Cut Road,Spartanburg,Pennsylvania,29303-4741,8645990699,palmettostorage@aol.com
Main Road Self Storage,10814 Dorchester Road,Summerville,South Carolina,29485,8438216555,summerville@mainroadstorage.com
Shady Oaks Storage,851 East Butternut Road,Summerville,Pennsylvania,29483-8434,8438710109,dogwoode@hotmail.com
Carolina Self Storage Centers Inc,1476 N. Jefferies Hwy,Walterboro,South Carolina,29488,8435495999,Walterboro@monsterstorage.com
A and D Holdings Inc dba Stor and Lock,7 Caldwell Court,Aiken,South Carolina,29803-6821,8036499988,
Storage R Us,2675 Whiskey Road,Aiken,Pennsylvania,29803,8036410901,usstorage@bellsouth.net
Airport Storage,3847 Highway 24,Anderson,South Carolina,29626,8642247049,kimperkins79@yahoo.com
Secure Storage,1823 East 53rd Street,Anderson,Indiana,46013,7656411144,info@securestoragespaces.com
Elmo Land Inc dba Greenwood Mini Storage,Po. Box 1032,Greenwood,Mississippi,38935-1032,6014533314,
Climate Masters Indoor Storage,5806 Campbell Street,Hanahan,Pennsylvania,29410,8437442863,mike@carr-properties.com
Crows Run Self Storage LLC,1901 Crows Run Road,Conway,Pennsylvania,15027,7242425600,contact@crowsrunstorage.com
"Keylock Storage Pendleton
Gold Member","1220 Airport Rd, OR 97801",Pendleton,Oregon,97801,15416251991,
High Ground Storage,100 Highway 17,Little River,Pennsylvania,29566,8432492120,
CubeSmart,43357 Division Street,Lancaster,California,93535,6619485511,STORE0532@CUBESMART.COM
LanCo Mini Storage Center Inc,1813 Old Philadelphia Pike,Lancaster,Pennsylvania,17602-2637,7172916022,
New Danville Pike Self Storage,1350 A New Danville Pike,Lancaster,Pennsylvania,17603-9606,7173916285,edendemo@comcast.net
Premier Self Storage,170 Independence Court,Lancaster,Pennsylvania,17601,7177359920,premierselfstorage@high.net
Daves Mini Storage Inc,3266 Chester Highway,York,Pennsylvania,29745-2150,8036840179,
Glenn Eyster's Storage,1363 Seven Valleys Rd,York,Pennsylvania,17408,7172278400,wire@eysters.com
Moove In Self Storage,2290 Greenbriar Rd,York,Pennsylvania,17404-9733,7173082137,jgilliland@irellc.com
Community Storage of Seneca,922 Shiloh Road,Seneca,Pennsylvania,29678-1247,8648828555,jnorman1@bellsouth.net
Neighborhood Storage,By Pass 123 & Corinth Dr,Seneca,Pennsylvania,29678,8648859896,neighborhoodstor@bellsouth.net
AAA Storage City,3715 Argent Blvd,Ridgeland,Pennsylvania,29936,8433790195,aaastorage@hargray.com
American Mini Storage,"274 Commerce Park Drive, Suite A",Ridgeland,Mississippi,28451-8024,6018988800,
Storage Unlimited,1506 Route 54 East,Clinton,Illinois,61727-1874,2179353200,heiden@springnet1.com
Tower Storage,476 Main St,Clinton,Massachusetts,01510-2422,9783683002,dean_acs@comcast.net
Pawleys Self Storage,11167 Ocean Highway,Pawleys Island,Pennsylvania,29585-6513,8432371937,
Blackhawk Storage Center,Route 51 & Route 168,Darlington,Pennsylvania,16115,7248471623,tmustric@comcast.net
Clark Realty LLC Central Storage of Dover,1607 Whiteford Road,Darlington,Maryland,21034,4104574100,bclark@clarkhdw.com
All Climate LLC,257 E. Camden Wyoming Ave.,Camden,Delaware,19934,3026981091,lbibuilder@comcast.net
Affordable Self Storage,1635 W Pembroke Ave,Hampton,Virginia,23661-1924,7577236551,dan4business@aol.com
Qwik-Stor Inc,1213 North King Street,Hampton,Virginia,23669-2276,7578730011,info@qwik-stor.com
Stow Away Storage,2116 Wessinger Rd,Chapin,Pennsylvania,29036-8845,8037818191,Bpooser3@imichotels.com
A and M Self Storage,47060 98th Street,Sioux Falls,South Dakota,57108-8100,6053682813,mike1delta@aol.com
"Statewide Self Storage
Gold Member","1901 Verne Roberts Cir, CA 94509",Antioch,California,94509,19253926079,
A Storage City Self Storage,2100 A Street,Antioch,California,94509,9253034032,
A Storage City Self Storage,2100 A Street,Antioch,California,94509,9253034032,
Farrell's Self Storage Inc,128 McGhee Rd,Chapel Hill,North Carolina,27517,9199699877,grfarrjr@aol.com
Storage King USA,5027 Hixson Pike,Chattanooga,Tennessee,37343,4236487867,Chattanooga@storagekingusa.com
Storage King USA,5799 Pepperbush Drive,Chattanooga,North Carolina,28304,9104268600,Pepperbush@storagekingusa.com
Storage King USA,4928 US Hwy 301,Chattanooga,North Carolina,28348,9104230337,Hopemills@storagekingusa.com
Auxvasse Self Storage LLC,2215 County Road 269,Columbia,Missouri,65202,5733874608,storage@ktis.net
ezStorage,9265 Berger Road,Columbia,Maryland,21046,4103813343,store@ezstorage.com
Forum DevelopmentLongtown Self Storage,Po. Box 23127,Columbia,South Carolina,29224-3127,8037717088,
Storage Centre,2506 West Worley Street,Columbia,Missouri,65203-4618,3144458423,thestoragecentre@centurytel.net
TKG StorageMart Partners LP,2407 Rangeline St Stop 1,Columbia,Missouri,65202,5734490091,mburnam@storage-mart.com
TKG StorageMart Partners LP,2407 Rangeline St Stop 1,Columbia,Missouri,65202,5734490091,mburnam@storage-mart.com
Aaron's Self Storage,2595 E Highway 2570,Dandridge,Tennessee,37725,8653970022,info@aaronselfstorage.com
Franklin Self Storage,306 Conover Dr,Franklin,Ohio,45005-1958,9377465190,
Security Storage,210 Kathleen Ct S,Franklin,Tennessee,37064-6736,6153902675,burck.stevens@gmail.com
StorageMAX,14 Grove Street,Franklin,Massachusetts,02038,5085200445,davis@storagemax.com
All Safe Storage LLC,7503 Taggart Lane,Knoxville,Tennessee,37938,8659474370,djschnieders@yahoo.com
Dominion Self Storage LLC,PO Box 1390,Knoxville,Tennessee,37901-1390,8655227785,mat@azurus.com
Hayfield Mini Storage,201 Hayfield Rd,Knoxville,Tennessee,37922-2304,8656946224,oliversmith@oliversmithreally.com
Papermill Self-Storage,410 Montbrook Lane Suite 101,Knoxville,Tennessee,37919,8655391313,info@thesmithcompany.net
Security Central Storage,4514 Western Ave,Knoxville,Tennessee,37939,8655888822,
Twin Spires Self Storage,8507 Walbrook Dr,Knoxville,Tennessee,37923-3116,8657692220,twinstore@bellsouth.net
American Self Storage LLC,2970 Gamble Street,Loudon,Tennessee,37774,8884588017,
Milano Self Storage,7 Orchard Park Rd.,Madison,Connecticut,06443,2032459599,dave@milanodevelopment.com
"Point Self-Stor, LLC",3690 Commerce Dr.,Madison,Pennsylvania,53719-4900,6088339090,rdohm@docusafe.net
U-Lock It Storage,117 Benson Blvd.,Madison,Alabama,35758-8513,2566793145,jim.mckee@stanleyassociates.com
Cord Moving,3264 Democrat Road #5,Memphis,Tennessee,38118,8667421558,cordmovingmemphis@outlook.com
Extra Room Self Storage LLC,Po. Box 2715,Mount Pleasant,South Carolina,29465,8438845221,hpoteat@fgigm.com
A+ Storage,636 Division,Nashville,Tennessee,37203,6152555000,tpierce@aplusstorage.com
AmeriSite Sixth Ave South,516 6th Avenue South,Nashville,Tennessee,37203,6157802000,Ray@AmerisiteStorage.com
Barber's Storage,756 Woodland Way,Nashville,Tennessee,37209,6155840512,2t17@barberstorage.com
Stor Place Self Storage,2156 Murfreesboro Pike,Nashville,Tennessee,37217,6153611000,ed@the-freeman-group.com
Stor-N-Lok,510 Fairground Ct.,Nashville,Tennessee,37211,6152426233,stornlokselfstor@bellsouth.net
Stowaway Inc,709 Mount Eden Rd,Shelbyville,Kentucky,40065-8876,5026479249,stowaway@ka.net
MICRO Storage LLC,2720 Chimney Rock Road,Hendersonville,North Carolina,28792-9373,8286935301,microstorage@bellsouth.net
ezStorage,12211 Middlebrook Road,Germantown,Maryland,20874,3015282020,store@ezstorage.com
ezStorage,4301 Rhode Island Avenue,Brentwood,Maryland,20722,3012091009,store@ezstorage.com
Mallory Station Storage,600 Church St E,Brentwood,Tennessee,37027,6153771299,mondayco@bellsouth.net
Anytime Storage,1012 Applegate Lane,Clarksville,Indiana,47129,8127275600,AnytimeStorageClarksville.mail@gmail.com
Storage Plus LLC,5916 New Nashville Hwy.,Murfreesboro,Tennessee,37129-7020,6159079577,
Lakeland Parkway Self Storage,615 E. McDowell Rd,Jackson,Mississippi,39204,6013523963,smsj@stomax.com
S and J Self Storage,2537 Shirley Dr.,Jackson,Michigan,49202-1525,5177898214,srampy7827@aol.com
Sentry Self-Storage,1245 E. McDevitt,Jackson,Michigan,49203,5177831753,info@sentrystoragejackson.com
Storage Stables,3400 South Hwy 89,Jackson,Wyoming,83001,3077336876,storagestables@qwestoffice.net
Tyner Self Storage,5750 I-55 North,Jackson,Mississippi,39211,6019571113,mitch@tynerlawfirm.com
Store It LLC,904 N State Of Frnklin Rd,Johnson City,Tennessee,37604,4237675005,slk62882@hotmail.com
Stowaway Storage,3300 Browns Mill Rd,Johnson City,Tennessee,37604,4232824841,
Assured Storage,1915 West Lamar Alexander Parkway,Maryville,Tennessee,37801-3506,8653795444,rhagood12@aol.com
Maryville Self Storage,133 Roosevelt Rd.,Maryville,Tennessee,37801-2126,,info@maryvillestorage.com
Bristol Mini Storage,1201 Bluff City Highway,Bristol,Tennessee,37620-5827,4236524664,bms1201@aol.com
Pest Control Bristol,145 Repton Rd,Brislington,Bristol,BS4 3LY,7830304098,
Exit 17 Self Storage,42 Riverside Dr.,Lebanon,New Hampshire,03766,6034481200,tbueschel@northernequities.com
Great Bow Self Slorage,227 Mechanic Street,Lebanon,New Hampshire,03755,6034484203,customerservice@lebanonstorage.com
Stone Bridge Storage,680 Tennessee Blvd.,Lebanon,Tennessee,37087-1724,6154539912,stonebridgestorage@softek.net
Tennessee Private Storage Inc,610 S Cumberland St,Lebanon,Tennessee,37087-4108,6154448755,
"A-1 Self Storage
Gold Member","615 SE Main St, OR 97214",Portland,Oregon,97214,19713734368,
"South Waterfront Heated Storage
Gold Member","680 SW Bancroft St, OR 97239",Portland,Oregon,97239,15034763534,
Barbur Blvd Self-Storage LLC,11318 SW Barbur Blvd.,Portland,Oregon,97219,5032456464,info@barburstorage.com
Downtown Self Storage,1304 NW Johnson Street,Portland,Oregon,97209,5032416170,
Rollin Wheels Self Storage,14229 SE Division St.,Portland,Oregon,97236-2630,5037604126,syang771@msn.com
U-Store Self Storage,1130 NE 28th Avenue,Portland,Oregon,97232,5032848111,brctr@qwest.net
Bulldog Self Storage,3832 - 172nd St. NE,Arlington,Washington,98223,36065187593606575252,bulldog_self_storage@hotmail.com
MI-BOX of Arlington Virginia,"VA, 22201",Arlington,Virginia,22201,5719466032,miboxarlington@sparkmail.co
Storage Choice,1602 Harwell Dr,Arlington,Texas,75219,8172615427,pglover@storagechoice.com
Storage Unlimited,1506 Route 54 East,Clinton,Illinois,61727-1874,2179353200,heiden@springnet1.com
Tower Storage,476 Main St,Clinton,Massachusetts,01510-2422,9783683002,dean_acs@comcast.net
Storage America,53 Spencer St.,Manchester,Connecticut,06040,8604329112,
"Self Storage at Telegraph
Gold Member","2633 Telegraph, Ave CA 94612",Oakland,California,94612,15102414115,
"Storage PRO of Oakland
Gold Member","8855 San Leandro St, CA 94621",Oakland,California,94621,15103795575,
"StoragePRO Franklin Street
Gold Member","1205 Franklin St, CA 94612",Oakland,California,94612,15109005474,
"StoragePRO Self Storage of Oakland
Gold Member","8855 San Leandro St, CA 94621",Oakland,California,94621,15103795575,
Beacon Self Storage,2227 San Pablo Ave,Oakland,California,94612,5103795653,
Safe Storage Management Company,2783 E. 12th St.,Oakland,California,94601,5105360616,info@safestorageusa.com
SKS Management (Saf Keep Storage),P.O. Box 12485,Oakland,California,94604,5102738543,pgrossberg@safkeep.com
East Coast Storage LLC,110 Chester River Heights Rd.,Millington,Maryland,21651,4109285933,ecs-ctown@verizon.net
Pack-It Inn LLC,Imboden Drive,Winchester,Virginia,22603,5406675545,
Winchester Industrial Park dba Allied Self Storage,1830 Millwood Pike,Winchester,Virginia,22602,5406629051,info@alliedselfstorage.com
S and A Storage,270 Fred Hill Road,Sparta,Tennessee,38583-2488,9318363218,sastorage@yahoo.com
Ace Mini Storage Inc,7003 E. Hwy 50,Dayton,Nevada,89403,7752410101,acestoragedayton@charter.net
North Dixie Self Storage,9117 N. Dixie Drive,Dayton,Ohio,45414-1859,9378988515,jack@van-con.com
A Storage Inns,332 Main St,Lafayette,Indiana,47901-1352,7654231945,janbootsma@aol.com
Bridge Storage,2108 Verot School Road,Lafayette,Louisiana,70508-6426,3379815500,
Melancon 1-49 Storage Center,3360 N.E. Evangeline Thruway,Lafayette,Louisiana,70501,3372354949,
Pyramid Self-Storage LLC,4900 Tazer Drive,Lafayette,Indiana,47905,7654497909,alan@alanwhiteagency.com
Wea Self Storage,3607 South 18th Street,LaFayette,Indiana,47909,7654777867,Betty@weaselfstorage.com
Dask Storage LLC,200 Industrial Drive,Lexington,South Carolina,29072,8036286288,dkrapf@att.net
"Storage Star Denver
Gold Member","4005 Grape St, CO 80216",Denver,Colorado,80216,17204090920,
"Storelocal Denver
Gold Member","1995 S Valentia Street, #E, CO, 80231",Denver,Colorado,80231,3037558803,
70th Avenue Self Storage,981 E. 70th Ave,Denver,Colorado,80229,30328811118002780579,info@70thaveselfstorage.com
Alameda Mini Storage,9898 E. Alameda Ave,Denver,Colorado,80247,3033630939,
Cocalico Self Store Inc,99 W Church St,Denver,Pennsylvania,17517-9312,7173350428,
Devonshire Mini Warehouse,8700 Devonshire Blvd.,Denver,Colorado,80229-5167,3032881119,
Downtown Denver Storage Inc,"2134 Curtis St., Ste 302",Denver,Colorado,80205-2519,7207462713,datag@juno.com
Local Moving LLC,300 W 53rd Pl g,Denver,Colorado,80216,3033556683,mylocalmovingcompany@gmail.com
Public Storage,400 West Center Ave.,Denver,Colorado,80223,,
Storage Unlimited,1995 South Valentia Street,Denver,Colorado,80231,3037558803,storageunlimited@worldnet.att.net
Central Bucks Self Storage,4435 Progress Meadow Drive,Doylestown,Pennsylvania,18901,2678801779,cbselfstorage@verizon.net
Route 22 Stor-All,6740 Allentown Blvd.,Harrisburg,Pennsylvania,17112-3392,7175457951,
Storhouse at Paxton Street,420 AMITY ROAD,Harrisburg,Pennsylvania,17111,7172342230,Storhouse.paxtonst@rabmgmt.com
"Snapbox Franklin Mills
Gold Member","1 Franklin Mills Blvd, PA 19154",Philadelphia,Pennsylvania,19154,12157701880,
"Snapbox Self Storage
Gold Member","2240 Island Ave, PA 19142",Philadelphia,Pennsylvania,19142,12674407867,
Flexbox Mobile Storage,1800 Indiana Ave,Philadelphia,Pennsylvania,19132,8884635392,info@goflexbox.com
Pier 40 Self Storage Inc,841 South Columbus Blvd.,Philadelphia,Pennsylvania,19147,2152719010,manager@pier40storage.com
Storage King USA,3100 C Street,Philadelphia,Pennsylvania,19134,2156344115,kensington@storagekingusa.com
Storage King USA,"5134 Lancaster Ave.,",Philadelphia,Pennsylvania,19131,2158785594,lancaster@storagekingusa.com
Storage King USA,"335 E Price St.,",Philadelphia,Pennsylvania,19144,2158448252,germantown@storagekingusa.com
Atlas Self Storage Center,"9400 McKnight Rd, Suite 207",Pittsburgh,Pennsylvania,15237,4123641146,al@thomsonproperties.net
